order_id,order_date,customer_id,product,category,region,quantity,unit_price
1001,2024-01-05,C017,Wireless Mouse,Accessories,North,3,24.99
1002,2024-01-06,C042,Mechanical Keyboard,Accessories,West,1,89.50
1003,2024-01-08,C019,27-inch Monitor,Displays,North,2,219.00
1004,2024-01-11,C007,USB-C Hub,Accessories,South,5,39.95
1005,2024-01-15,C042,Laptop Stand,Accessories,West,2,45.00
1006,2024-01-18,C033,34-inch Ultrawide,Displays,East,1,499.99
1007,2024-01-21,C051,Webcam 1080p,Peripherals,South,4,62.75
1008,2024-01-24,C007,Noise-Cancelling Headset,Peripherals,South,1,129.00
1009,2024-01-28,C060,Docking Station,Accessories,East,2,159.99
1010,2024-01-30,C019,4K Monitor,Displays,North,1,389.00
